,WordA,WordB,AlphaN,Corpus Sentence,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,RelFreq,model.prop,Extremity,Experimental sentence,,,Notes,Too weird?,"""",
226,miners,teamsters,749,"There were no less than six or seven saloons in Ganado , * not counting the lower class dives , all vying for the trade of celebrating miners and teamsters .",0,0,0,0,0,0,1.758887302,0,0,0,225,0.64,0.54861503,0.54861503,All the X and Y gathered at the company to demand better working conditions.,All the miners and teamsters gathered at the company to demand better working conditions.,All the teamsters and miners gathered at the company to demand better working conditions.,,,"""alpha""; 226; All the miners and teamsters gathered at the company to demand better working conditions.","""nonalpha""; 226; All the teamsters and miners gathered at the company to demand better working conditions."
227,jerkings,snivelings,616,"He could tell them his fears of * being involved *-1 , he could explain what *T*-2 had happened in the old neighborhood and how Mae had misunderstood *T*-3 and how she had held it over him *T*-4 -- the scene was complete in his mind at the moment , even to his own jerkings and snivelings , and Ferguson 's silent patience .",0,-1,0,0,1,0,3.589386811,1,1,0,0,NA,0.54732192,0.54732192,x,x,x,,,"""alpha""; 227; x","""nonalpha""; 227; x"
228,song,tears,1137,"With shout and slow dance , with tears and song , with scream and contortion , the corner group was beset *-1 by hysteria and shivering , wailing , shouting , possession of something that *T*-2 seemed like an alien and outside force .",0,-1,0,0,0,0,0.3404215932,0,0,0,362,0.6104972376,0.45285237,0.54714763,I remember my grandmother's X and Y at my grandfather's funeral.,I remember my grandmother's song and tears at my grandfather's funeral.,I remember my grandmother's tears and song at my grandfather's funeral.,,,"""alpha""; 228; I remember my grandmother's song and tears at my grandfather's funeral.","""nonalpha""; 228; I remember my grandmother's tears and song at my grandfather's funeral."
229,humor,proportion,564,"* Shocked at the response to our proclamations , we grow more defensive , and worse , we lose our sense of humor and proportion .",0,1,0,0,0,0,-0.9137717084,0,0,0,519,0.7052023121,0.54608924,0.54608924,They lost their sense of X and Y as they grew more and more defensive.,They lost their sense of humor and proportion as they grew more and more defensive.,They lost their sense of proportion and humor as they grew more and more defensive.,,,"""alpha""; 229; They lost their sense of humor and proportion as they grew more and more defensive.","""nonalpha""; 229; They lost their sense of proportion and humor as they grew more and more defensive."
230,patients,psychiatrists,932,"`` I should say 0 it is the turning of courts of law into veritable theatres for sex dramas , involving clergymen and parishioners , psychiatrists and patients .",0,0,0,-1,0,0,3.819119049,1,1,0,882,0.3571428571,0.54548062,0.54548062,Good relationships between X and Y must be established slowly.,Good relationships between patients and psychiatrists must be established slowly.,Good relationships between psychiatrists and patients must be established slowly.,,,"""alpha""; 230; Good relationships between patients and psychiatrists must be established slowly.","""nonalpha""; 230; Good relationships between psychiatrists and patients must be established slowly."
231,gasps,rushes,1002,"The search began , in all the rooms , * running upstairs , down , * opening closets , * talking , exclaiming in rushes and gasps .",0,0,-1,0,0,0,-1.239203298,1,1,1,0,NA,0.45459172,0.54540828,The boys exclaimed in X and Y as they searched all around the house.,The boys exclaimed in gasps and rushes as they searched all around the house.,The boys exclaimed in rushes and gasps as they searched all around the house.,,,"""alpha""; 231; The boys exclaimed in gasps and rushes as they searched all around the house.","""nonalpha""; 231; The boys exclaimed in rushes and gasps as they searched all around the house."
232,case,hen,"*-1 Startled *-2 , he jumped up * to pull hen and case out of view , and Alex went to the door .","*-1 Startled *-2 , he jumped up * to pull hen and case out of view , and Alex went to the door .",x,x,I don't know what this sentence is about :),maybe,,,,,,0,0,NA,0.54156326,0.54156326,x,x,x,I don't know what this sentence is about :),maybe,"""alpha""; 232; x","""nonalpha""; 232; x"
233,blades,toughs,"Above , in the tiled prosceniums of the alcoves , boys sing the ghazals of Hafiz and Saadi , while at the very bottom , in the vaults , the toughs and blades of the city hoot and bang their drums , drink arak , play dice , and dance .","Above , in the tiled prosceniums of the alcoves , boys sing the ghazals of Hafiz and Saadi , while at the very bottom , in the vaults , the toughs and blades of the city hoot and bang their drums , drink arak , play dice , and dance .",x,x,,yes,,,,,,0,0,NA,0.54083111,0.54083111,x,x,x,,yes,"""alpha""; 233; x","""nonalpha""; 233; x"
234,shavings,vinegar,1214,They looked as if they had been fed *-1 on vinegar and shavings . '',0,0,0,0,-1,0,-2.0768233,1,1,0,0,NA,0.45982408,0.54017592,x,x,x,,,"""alpha""; 234; x","""nonalpha""; 234; x"
235,misunderstanding,persecution,755,"I still recall the mild shock 0 I experienced *T*-2 in *-3 reading material of an enthusiastic advocate of the `` clean , healthful , free way of natural life in nudism '' , who *T*-1 seemed *-4 to brave much misunderstanding and persecution in fine spirit .",0,0,0,0,-1,0,-0.5370734512,-1,0,0,500,0.664,0.45990643,0.54009357,Advocates of this unusual way of life face X and Y constantly wherever they go.,Advocates of this unusual way of life face misunderstanding and persecution constantly wherever they go.,Advocates of this unusual way of life face persecution and misunderstanding constantly wherever they go.,,,"""alpha""; 235; Advocates of this unusual way of life face misunderstanding and persecution constantly wherever they go.","""nonalpha""; 235; Advocates of this unusual way of life face persecution and misunderstanding constantly wherever they go."
236,courage,virility,"Something in the back of his mind was aware that the magnificence of the plan lay in his faith , that the idea would work because he believed in it , since his courage and virility were involved *-1 , because it was truly his .","Something in the back of his mind was aware that the magnificence of the plan lay in his faith , that the idea would work because he believed in it , since his courage and virility were involved *-1 , because it was truly his .","He had faith that the idea would work, since his courage and virility were involved in the magnificent plan.","He had faith that the idea would work, since his virility and courage were involved in the magnificent plan.",,,,,,,,0,757,0.5416116248,0.54008644,0.54008644,"He had faith that the idea would work, since his X and Y were involved in the magnificent plan.","He had faith that the idea would work, since his courage and virility were involved in the magnificent plan.","He had faith that the idea would work, since his virility and courage were involved in the magnificent plan.",,,"""alpha""; 236; He had faith that the idea would work, since his courage and virility were involved in the magnificent plan.","""nonalpha""; 236; He had faith that the idea would work, since his virility and courage were involved in the magnificent plan."
237,juice,spirit,622,"This was a broth of a boy , our Felix , and nothing was more obvious than the joy 0 he took *T*-1 in *-2 demonstrating how agile he was *T*-3 and how full of juice and spirit .",0,0,0,0,0,0,-2.001557555,1,1,1,56,1,0.53997688,0.53997688,"The boy, full of X and Y, got down to painting the fence right away.","The boy, full of juice and spirit, got down to painting the fence right away.","The boy, full of spirit and juice, got down to painting the fence right away.",,,"""alpha""; 237; The boy, full of juice and spirit, got down to painting the fence right away.","""nonalpha""; 237; The boy, full of spirit and juice, got down to painting the fence right away."
238,futility,solipsism,1080,We need a doctrine of imitation 0 *T*-1 to save us from the solipsism and futility of pure formalism .,0,-1,0,0,0,0,2.102535779,1,-1,0,0,NA,0.5393656,0.5393656,x,x,x,,,"""alpha""; 238; x","""nonalpha""; 238; x"
239,suspense,worry,1268,"Once he had abandoned himself to the very worst , once he had quieted all the dragons of worry and suspense , there would n't be very much for 0 Mae to do *T*-1 .",0,0,0,0,0,0,-2.04743997,1,1,1,334,0.3832335329,0.53887788,0.53887788,Once Bill had quieted all the X and Y the situation didn't seem that bad after all.,Once Bill had quieted all the suspense and worry the situation didn't seem that bad after all.,Once Bill had quieted all the worry and suspense the situation didn't seem that bad after all.,,,"""alpha""; 239; Once Bill had quieted all the suspense and worry the situation didn't seem that bad after all.","""nonalpha""; 239; Once Bill had quieted all the worry and suspense the situation didn't seem that bad after all."
240,attitude,culture,Or does he sincerely want *-1 to tap the real springs of American attitude and culture regardless of how unpopular and embarrassing they may be *T*-2 ? ?,Or does he sincerely want *-1 to tap the real springs of American attitude and culture regardless of how unpopular and embarrassing they may be *T*-2 ? ?,The author sincerely wanted to tap the real springs of American attitude and culture regardless of how unpopular and embarrassing they may be.,The author sincerely wanted to tap the real springs of American culture and attitude regardless of how unpopular and embarrassing they may be.,,,,,,,,1,921,0.3811074919,0.46392217,0.53607783,The author sincerely wanted to tap the real springs of American X and Y regardless of how unpopular and embarrassing they may be.,The author sincerely wanted to tap the real springs of American attitude and culture regardless of how unpopular and embarrassing they may be.,The author sincerely wanted to tap the real springs of American culture and attitude regardless of how unpopular and embarrassing they may be.,,,"""alpha""; 240; The author sincerely wanted to tap the real springs of American attitude and culture regardless of how unpopular and embarrassing they may be.","""nonalpha""; 240; The author sincerely wanted to tap the real springs of American culture and attitude regardless of how unpopular and embarrassing they may be."
241,anxiety,hazards,"Some recent writings assume that the ignorant young couples are a thing of the remote , Victorian past ; ; that nowadays all honeymooners are thoroughly familiar with the best sex-manuals and know enough *ICH*-1 from talk with friends and personal experimentation * to take all the anxiety and hazards out of the situation .","Some recent writings assume that the ignorant young couples are a thing of the remote , Victorian past ; ; that nowadays all honeymooners are thoroughly familiar with the best sex-manuals and know enough *ICH*-1 from talk with friends and personal experimentation * to take all the anxiety and hazards out of the situation .",In order to deal with the situation's anxiety and hazards the honeymooners had a thorough conversation before the trip.,In order to deal with the situation's hazards and anxiety the honeymooners had a thorough conversation before the trip.,,,,,,,,0,0,NA,0.46460613,0.53539387,In order to deal with the situation's X and Y the honeymooners had a thorough conversation before the trip.,In order to deal with the situation's anxiety and hazards the honeymooners had a thorough conversation before the trip.,In order to deal with the situation's hazards and anxiety the honeymooners had a thorough conversation before the trip.,,,"""alpha""; 241; In order to deal with the situation's anxiety and hazards the honeymooners had a thorough conversation before the trip.","""nonalpha""; 241; In order to deal with the situation's hazards and anxiety the honeymooners had a thorough conversation before the trip."
242,abandon,fervor,"But with Bill O'Connor on the fiddle , and Gran Harrow exuberantly shouting `` Glory Be '' and `` Hallelujah '' above their united chant of the lilting old ballads , they played their quaint folk games with all the fervor and abandon of a real celebration .","But with Bill O'Connor on the fiddle , and Gran Harrow exuberantly shouting `` Glory Be '' and `` Hallelujah '' above their united chant of the lilting old ballads , they played their quaint folk games with all the fervor and abandon of a real celebration .",The violinist played with abandon and fervor even though he had just recovered from an accident.,The violinist played with fervor and abandon even though he had just recovered from an accident.,,,,,,,,0,188,0,0.53505035,0.53505035,The violinist played with X and Y even though he had just recovered from an accident.,The violinist played with abandon and fervor even though he had just recovered from an accident.,The violinist played with fervor and abandon even though he had just recovered from an accident.,,,"""alpha""; 242; The violinist played with abandon and fervor even though he had just recovered from an accident.","""nonalpha""; 242; The violinist played with fervor and abandon even though he had just recovered from an accident."
243,elmira,oberlin,"Lucy Upton was graduated *-1 from the Salem High School when few colleges , only Oberlin and Elmira , were open to women *T*-4 ; ; and she had an appetite for learning that *T*-3 could not be denied *-2 .","Lucy Upton was graduated *-1 from the Salem High School when few colleges , only Oberlin and Elmira , were open to women *T*-4 ; ; and she had an appetite for learning that *T*-3 could not be denied *-2 .",x,x,,yes,,,,,,0,0,NA,0.46563346,0.53436654,x,x,x,,yes,"""alpha""; 243; x","""nonalpha""; 243; x"
244,clash,meeting,"There was too little occasion beforehand for resistance , the brave strong delights of emotional clash and meeting .","There was too little occasion beforehand for resistance , the brave strong delights of emotional clash and meeting .",No one predicted that the clash and meeting of the two cultures would unfold so violently.,No one predicted that the meeting and clash of the two cultures would unfold so violently.,,,,,,,,1,60,0,0.46748212,0.53251788,No one predicted that the X and Y of the two cultures would unfold so violently.,No one predicted that the clash and meeting of the two cultures would unfold so violently.,No one predicted that the meeting and clash of the two cultures would unfold so violently.,,,"""alpha""; 244; No one predicted that the clash and meeting of the two cultures would unfold so violently.","""nonalpha""; 244; No one predicted that the meeting and clash of the two cultures would unfold so violently."
245,currents,rhythms,"This life has its own currents and rhythms , its own multiple cycles and adaptations .","This life has its own currents and rhythms , its own multiple cycles and adaptations .",This life has its own currents and rhythms just like any other way of life does.,This life has its own rhythms and currents just like any other way of life does.,,,,,,,,0,44,1,0.5316008,0.5316008,This life has its own X and Y just like any other way of life does.,This life has its own currents and rhythms just like any other way of life does.,This life has its own rhythms and currents just like any other way of life does.,,,"""alpha""; 245; This life has its own currents and rhythms just like any other way of life does.","""nonalpha""; 245; This life has its own rhythms and currents just like any other way of life does."
246,huggings,kissings,557,"All about me there was a hectic interplay of meetings taking place , like abrupt , jerky scenes in old silent movies , joyous greetings and beginnings , huggings and kissings , enthusiastic forays into the festive night .",0,0,0,0,-1,0,-1.297707962,0,0,0,187,0.7967914439,0.46862598,0.53137402,There have been a lot of X and Y since the reunion started.,There have been a lot of huggings and kissings since the reunion started.,There have been a lot of kissings and huggings since the reunion started.,,,"""alpha""; 246; There have been a lot of huggings and kissings since the reunion started.","""nonalpha""; 246; There have been a lot of kissings and huggings since the reunion started."
247,coverings,veils,"In particular he sought the gentle , sweet-faced nuns , with head coverings and veils coming to the middle of their foreheads , *-1 remembering their expressions until he reached home and set them down on paper .","In particular he sought the gentle , sweet-faced nuns , with head coverings and veils coming to the middle of their foreheads , *-1 remembering their expressions until he reached home and set them down on paper .",The gentle nuns with coverings and veils were the unwitting models of several of his paintings.,The gentle nuns with veils and coverings were the unwitting models of several of his paintings.,,,,,,,,-1,267,0.2397003745,0.46866517,0.53133483,The gentle nuns with X and Y were the unwitting models of several of his paintings.,The gentle nuns with coverings and veils were the unwitting models of several of his paintings.,The gentle nuns with veils and coverings were the unwitting models of several of his paintings.,,,"""alpha""; 247; The gentle nuns with coverings and veils were the unwitting models of several of his paintings.","""nonalpha""; 247; The gentle nuns with veils and coverings were the unwitting models of several of his paintings."
248,graces,manners,708,"Her hair was dyed *-1 , and her bloom was fading , and she must have been crowding forty , but she seemed *-3 to be one of those women who *T*-2 cling to the manners and graces of a pretty child of eight .",0,0,0,0,0,0,-1.548366386,0,0,0,783,0.4597701149,0.46909583,0.53090417,She seems to be a woman who keeps her X and Y as she ages over the years.,She seems to be a woman who keeps her graces and manners as she ages over the years.,She seems to be a woman who keeps her manners and graces as she ages over the years.,,,"""alpha""; 248; She seems to be a woman who keeps her graces and manners as she ages over the years.","""nonalpha""; 248; She seems to be a woman who keeps her manners and graces as she ages over the years."
249,austerity,denial,"Why had not this success come to him before he had plunged into his Discourse , and before he had committed himself to a life of austerity and denial *T*-1 ? ?","Why had not this success come to him before he had plunged into his Discourse , and before he had committed himself to a life of austerity and denial *T*-1 ? ?",Before committing himself to a life of austerity and denial he never managed to succeed.,Before committing himself to a life of denial and austerity he never managed to succeed.,,,,,,,,0,221,0,0.46911148,0.53088852,Before committing himself to a life of X and Y he never managed to succeed.,Before committing himself to a life of austerity and denial he never managed to succeed.,Before committing himself to a life of denial and austerity he never managed to succeed.,,,"""alpha""; 249; Before committing himself to a life of austerity and denial he never managed to succeed.","""nonalpha""; 249; Before committing himself to a life of denial and austerity he never managed to succeed."
250,madaripur,sirinjani,1062,"For a brief period each year , the rays of the sun are warm enough * to melt some of the snows piled * *-1 a mile deep at the base of the headwalls , and then the pinnacles glisten in the daytime at high noon , and billions of gallons of water begin their slow seepage under the glaciers and across the rockstrewn hanging valleys on their long , meandering journey to the sea -- *-2 running east past the sky-carving massifs of Gurla Mandhata and Kemchenjunga , then turning south and curling down through the jungles of Assam , past the Khasi Hills , and into Bengal , past Sirinjani and Madaripur , until the hard water of the melting snows mingles with the soft drainage of fields and at length fans out *-3 to meld with the teeming salt depths of the Bay of Bengal .",0,1,0,0,0,-1,5.986452005,1,1,1,0,NA,0.46925469,0.53074531,x,x,x,,,"""alpha""; 250; x","""nonalpha""; 250; x"
251,composure,tranquility,From the time 0 he had been at college *T*-2 he had achieved a certain tranquility and composure by * accepting the fact that there were certain things 0 he could never know *T*-1 .,From the time 0 he had been at college *T*-2 he had achieved a certain tranquility and composure by * accepting the fact that there were certain things 0 he could never know *T*-1 .,He had achieved a certain composure and tranquility by accepting the fact that there were certain things he could never know.,He had achieved a certain tranquility and composure by accepting the fact that there were certain things he could never know.,,,,,,,,0,202,0.6287128713,0.53046977,0.53046977,He had achieved a certain X and Y by accepting the fact that there were certain things he could never know.,He had achieved a certain composure and tranquility by accepting the fact that there were certain things he could never know.,He had achieved a certain tranquility and composure by accepting the fact that there were certain things he could never know.,,,"""alpha""; 251; He had achieved a certain composure and tranquility by accepting the fact that there were certain things he could never know.","""nonalpha""; 251; He had achieved a certain tranquility and composure by accepting the fact that there were certain things he could never know."
252,instinct,judgement,593,`` Both children are musical and my wife is a music lover of unfailing instinct and judgement '' .,0,-1,0,0,0,0,1.03782226,0,0,0,91,0.5054945055,0.4695586,0.5304414,An ignorant person's X and Y can never be trusted.,An ignorant person's instinct and judgement can never be trusted.,An ignorant person's judgement and instinct can never be trusted.,,,"""alpha""; 252; An ignorant person's instinct and judgement can never be trusted.","""nonalpha""; 252; An ignorant person's judgement and instinct can never be trusted."
253,beginnings,greetings,"All about me there was a hectic interplay of meetings taking place , like abrupt , jerky scenes in old silent movies , joyous greetings and beginnings , huggings and kissings , enthusiastic forays into the festive night .","All about me there was a hectic interplay of meetings taking place , like abrupt , jerky scenes in old silent movies , joyous greetings and beginnings , huggings and kissings , enthusiastic forays into the festive night .","As a pessimist, he believes that beginnings and greetings are the best part of any human interaction.","As a pessimist, he believes that greetings and beginnings are the best part of any human interaction.",,,,,,,,0,0,NA,0.46959079,0.53040921,"As a pessimist, he believes that X and Y are the best part of any human interaction.","As a pessimist, he believes that beginnings and greetings are the best part of any human interaction.","As a pessimist, he believes that greetings and beginnings are the best part of any human interaction.",,,"""alpha""; 253; As a pessimist, he believes that beginnings and greetings are the best part of any human interaction.","""nonalpha""; 253; As a pessimist, he believes that greetings and beginnings are the best part of any human interaction."
254,seals,wires,1256,Unless all gadgets are properly operated *-1 -- and the wires and seals from the handles removed *-3 first -- no damage can be done *-2 .,0,0,-1,0,0,0,-0.5843258237,1,1,1,0,NA,0.47028543,0.52971457,All the X and Y need to be removed first before the gadgets can be fixed.,All the seals and wires need to be removed first before the gadgets can be fixed.,All the wires and seals need to be removed first before the gadgets can be fixed.,,,"""alpha""; 254; All the seals and wires need to be removed first before the gadgets can be fixed.","""nonalpha""; 254; All the wires and seals need to be removed first before the gadgets can be fixed."
255,adherent,advocate,"The second stage is * to retain the nominal classification of `` neutralist '' , while in fact * turning the country into an active advocate and adherent of Soviet policy .","The second stage is * to retain the nominal classification of `` neutralist '' , while in fact * turning the country into an active advocate and adherent of Soviet policy .",The new foreign policy's chief adherent and advocate gave a passionate speech during the gathering.,The new foreign policy's chief advocate and adherent gave a passionate speech during the gathering.,,,,,,,,0,69,1,0.47043861,0.52956139,The new foreign policy's chief X and Y gave a passionate speech during the gathering.,The new foreign policy's chief adherent and advocate gave a passionate speech during the gathering.,The new foreign policy's chief advocate and adherent gave a passionate speech during the gathering.,,,"""alpha""; 255; The new foreign policy's chief adherent and advocate gave a passionate speech during the gathering.","""nonalpha""; 255; The new foreign policy's chief advocate and adherent gave a passionate speech during the gathering."
256,calmness,detachment,The calmness and detachment of his tone suggested unawareness of how implicit was *T*-2 his own guilt in the words 0 he had used *T*-1 * to defend Cromwell .,The calmness and detachment of his tone suggested unawareness of how implicit was *T*-2 his own guilt in the words 0 he had used *T*-1 * to defend Cromwell .,His tone's calmness and detachment suggested that he was unaware of his own guilt.,His tone's detachment and calmness suggested that he was unaware of his own guilt.,,,,,,,,0,210,1,0.52932556,0.52932556,His tone's X and Y suggested that he was unaware of his own guilt.,His tone's calmness and detachment suggested that he was unaware of his own guilt.,His tone's detachment and calmness suggested that he was unaware of his own guilt.,,,"""alpha""; 256; His tone's calmness and detachment suggested that he was unaware of his own guilt.","""nonalpha""; 256; His tone's detachment and calmness suggested that he was unaware of his own guilt."
257,diffidence,gentleness,"He was a huge young man of twenty-four , clothed *-3 in muscle , immensely strong , with a habitual gentleness and diffidence of manner that *T*-2 was submerged *-1 under his present agitation .","He was a huge young man of twenty-four , clothed *-3 in muscle , immensely strong , with a habitual gentleness and diffidence of manner that *T*-2 was submerged *-1 under his present agitation .",His habitual diffidence and gentleness was submerged under his present agitation.,His habitual gentleness and diffidence was submerged under his present agitation.,,,,,,,,0,24,1,0.47095731,0.52904269,His habitual X and Y was submerged under his present agitation.,His habitual diffidence and gentleness was submerged under his present agitation.,His habitual gentleness and diffidence was submerged under his present agitation.,,,"""alpha""; 257; His habitual diffidence and gentleness was submerged under his present agitation.","""nonalpha""; 257; His habitual gentleness and diffidence was submerged under his present agitation."
258,cherries,pineapple,"He described the ham decorated * with pineapple and cherries , cooling on the porch .","He described the ham decorated * with pineapple and cherries , cooling on the porch .",He left the ham decorated with cherries and pineapple to cool on the porch.,He left the ham decorated with pineapple and cherries to cool on the porch.,,,,,,,,0,878,0.5421412301,0.5285596,0.5285596,He left the ham decorated with X and Y to cool on the porch.,He left the ham decorated with cherries and pineapple to cool on the porch.,He left the ham decorated with pineapple and cherries to cool on the porch.,,,"""alpha""; 258; He left the ham decorated with cherries and pineapple to cool on the porch.","""nonalpha""; 258; He left the ham decorated with pineapple and cherries to cool on the porch."
259,inertia,petulance,881,"In `` The King 's Ride '' , Charles breaks out of a long period of petulance and inertia , regains his old self , escapes from Turkey , and finally reaches his own land after an absence of eighteen years .",0,-1,0,0,0,0,3.025813034,1,1,0,0,NA,0.52734006,0.52734006,Having broken out of a long period of X and Y Charles regained his old self.,Having broken out of a long period of inertia and petulance Charles regained his old self.,Having broken out of a long period of petulance and inertia Charles regained his old self.,,,"""alpha""; 259; Having broken out of a long period of inertia and petulance Charles regained his old self.","""nonalpha""; 259; Having broken out of a long period of petulance and inertia Charles regained his old self."
260,garden,pavilion,867,"On Fridays , the day when many Persians relax with poetry , talk , and a samovar , *T*-2 people do not , it is true , stream into Chehel Sotun -- a pavilion and garden built * by Shah Abbas 2 , in the seventeenth century -- but they do retire into hundreds of pavilions throughout the city and up the river valley , which *T*-1 are smaller , more humble copies of the former .",0,0,-1,0,0,0,2.944781145,0,0,0,325,0.4307692308,0.47340641,0.52659359,Chehel Sotun was a X and Y built in the seventeenth century.,Chehel Sotun was a garden and pavilion built in the seventeenth century.,Chehel Sotun was a pavilion and garden built in the seventeenth century.,,,"""alpha""; 260; Chehel Sotun was a garden and pavilion built in the seventeenth century.","""nonalpha""; 260; Chehel Sotun was a pavilion and garden built in the seventeenth century."
261,furs,merchandise,736,"Accordingly , though the practice violated the no-trading provision of the Selkirk charter which *T*-1 reserved all such activity in merchandise and furs to the Hudson 's Bay Company , some settlers went into trade .",-1,0,0,0,0,0,-1.377446203,2,0,0,464,0.6637931034,0.47509585,0.52490415,All activity in X and Y were reserved for the largest trading company in the area.,All activity in furs and merchandise were reserved for the largest trading company in the area.,All activity in merchandise and furs were reserved for the largest trading company in the area.,,,"""alpha""; 261; All activity in furs and merchandise were reserved for the largest trading company in the area.","""nonalpha""; 261; All activity in merchandise and furs were reserved for the largest trading company in the area."
262,malaise,ritual,985,Our inability * to explain why certain people are fond of us *T*-1 frequently induces the same kind of ritual and malaise .,0,-1,0,0,0,0,-2.503867171,2,2,1,0,NA,0.47603622,0.52396378,x,x,x,,,"""alpha""; 262; x","""nonalpha""; 262; x"
263,pains,shocks,1050,"Time stood still for these people , and their load of pleasure was so commingled with the shocks and pains of the dromozoa that the words of the Lady Da took on very remote meaning .",0,-1,0,0,1,0,1.137937645,0,0,0,164,0.4756097561,0.47846041,0.52153959,The therapist led her patients to let go of their X and Y over their sessions every month.,The therapist led her patients to let go of their pains and shocks over their sessions every month.,The therapist led her patients to let go of their shocks and pains over their sessions every month.,,,"""alpha""; 263; The therapist led her patients to let go of their pains and shocks over their sessions every month.","""nonalpha""; 263; The therapist led her patients to let go of their shocks and pains over their sessions every month."
264,employees,proprietors,"Strikes *ICH*-1 should be declared *-4 illegal against corporations because disagreements would have *-2 to be settled *-5 by government representatives acting as controllers of the corporation whose responsibility to the state *T*-7 would now be defined *-6 against proprietorship because employees and proprietors must be completely interdependent , as they are each a part of the whole .","Strikes *ICH*-1 should be declared *-4 illegal against corporations because disagreements would have *-2 to be settled *-5 by government representatives acting as controllers of the corporation whose responsibility to the state *T*-7 would now be defined *-6 against proprietorship because employees and proprietors must be completely interdependent , as they are each a part of the whole .","Strikes should be declared illegal against corporations because employees and proprietors must be completely interdependent, as they are each a part of the whole.","Strikes should be declared illegal against corporations because proprietors and employees must be completely interdependent, as they are each a part of the whole.",,,,,,,,0,689,0.3018867925,0.51903375,0.51903375,"Strikes should be declared illegal against corporations because X and Y must be completely interdependent, as they are each a part of the whole.","Strikes should be declared illegal against corporations because employees and proprietors must be completely interdependent, as they are each a part of the whole.","Strikes should be declared illegal against corporations because proprietors and employees must be completely interdependent, as they are each a part of the whole.",,,"""alpha""; 264; Strikes should be declared illegal against corporations because employees and proprietors must be completely interdependent, as they are each a part of the whole.","""nonalpha""; 264; Strikes should be declared illegal against corporations because proprietors and employees must be completely interdependent, as they are each a part of the whole."
265,madman,tyrant,1200,From * being a hated tyrant and madman he was now the symbol of all that *T*-1 was noblest and best in the history of Sweden .,0,0,0,-1,0,0,-0.69995967,0,1,1,26,1,0.48159462,0.51840538,From being a X and Y he was now the best-known figure in the history of Sweden.,From being a madman and tyrant he was now the best-known figure in the history of Sweden.,From being a tyrant and madman he was now the best-known figure in the history of Sweden.,,,"""alpha""; 265; From being a madman and tyrant he was now the best-known figure in the history of Sweden.","""nonalpha""; 265; From being a tyrant and madman he was now the best-known figure in the history of Sweden."
266,assistant,confidante,Each was her mother 's assistant and confidante ; ; and each stood out conspicuously in the family picture .,Each was her mother 's assistant and confidante ; ; and each stood out conspicuously in the family picture .,Mrs. Green's sole assistant and confidante was her youngest daughter.,Mrs. Green's sole confidante and assistant was her youngest daughter.,,,,,,,,-1,216,0.6296296296,0.51830897,0.51830897,Mrs. Green's sole X and Y was her youngest daughter.,Mrs. Green's sole assistant and confidante was her youngest daughter.,Mrs. Green's sole confidante and assistant was her youngest daughter.,,,"""alpha""; 266; Mrs. Green's sole assistant and confidante was her youngest daughter.","""nonalpha""; 266; Mrs. Green's sole confidante and assistant was her youngest daughter."
267,gadgets,prowess,931,"In fact , insofar as science generates any fear , it stems not so much from scientific prowess and gadgets but from the fact that new unanswered questions *ICH*-5 arise , which , until they are understood *-6 , *T*-1 create uncertainty .",0,1,0,-1,0,0,-0.9673585645,0,0,0,0,NA,0.48218636,0.51781364,"Despite the scientific X and Y we have, new unanswered questions are arising every day.","Despite the scientific gadgets and prowess we have, new unanswered questions are arising every day.","Despite the scientific prowess and gadgets we have, new unanswered questions are arising every day.",,,"""alpha""; 267; Despite the scientific gadgets and prowess we have, new unanswered questions are arising every day.","""nonalpha""; 267; Despite the scientific prowess and gadgets we have, new unanswered questions are arising every day."
268,foresight,patriotism,427,"Heywood Broun wrote : `` Belle Poitrine is the most original thinker since Caligula '' , and even F.D.R. had *-1 to concede that `` if the rest of this nation showed the foresight and patriotism of Miss Poitrine , America would rapidly resemble ancient Babylon and Nineveh '' .",0,0,-1,0,0,0,-0.9194387687,3,1,1,287,0.5156794425,0.51636282,0.51636282,Miss Johnson's X and Y have been widely praised among her readers.,Miss Johnson's foresight and patriotism have been widely praised among her readers.,Miss Johnson's patriotism and foresight have been widely praised among her readers.,,,"""alpha""; 268; Miss Johnson's foresight and patriotism have been widely praised among her readers.","""nonalpha""; 268; Miss Johnson's patriotism and foresight have been widely praised among her readers."
269,Scots,Swiss,1027,"Its people , including Pierre Bottineau and other American Fur Company employees and the refugees from Fort Garry , were joined *-1 by the remaining Scots and Swiss from Fort Snelling when Major Joseph Plympton expelled them from the reservation in May 1840 *T*-2 .",0,0,0,0,0,0,-0.9188935658,0,0,0,99,0.5656565657,0.48423341,0.51576659,"Surprisingly, the X and Y in my class spoke Spanish fluently.","Surprisingly, the Scots and Swiss in my class spoke Spanish fluently.","Surprisingly, the Swiss and Scots in my class spoke Spanish fluently.",,,"""alpha""; 269; Surprisingly, the Scots and Swiss in my class spoke Spanish fluently.","""nonalpha""; 269; Surprisingly, the Swiss and Scots in my class spoke Spanish fluently."
